1uF,"C1,C10,C12,C21,C23,C32,C35,C44,C136",603,
0.1uF,"C1_RETRY1,C1_RETRY2,C2_RETRY1,C2_RETRY2,C5_RETRY1,C6_RETRY1,C7_RETRY1,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C56,C57,C58,C63,C64,C65,C69,C70,C71,C72,C77,C78,C79,C80,C81,C82,C83,C84,C91,C92,C151,C152,C153,C154",603,
0.22uF,"C2,C13,C24,C34",603,
100nF,"C3,C4,C5,C7,C8,C14,C15,C16,C18,C19,C25,C26,C27,C29,C30,C36,C37,C38,C40,C41,C134,C221,C222,C227,C228,C229,C230",603,
47uF,"C6,C17,C28,C39,C231,C232,C233,C234",1210,C555369
10nF,"C9,C20,C31,C42",603,
10nF,"C11,C22,C33,C43",603,
1uF,"C55,C62",603,
10uF,"C59,C66",603,
0.1uF,"C60,C67",805,
1uF,"C61,C68",805,
4.7uF,"C73,C74",805,
15pF,"C223,C224,C225,C226",603,
1N4148,"D1,D2,D3,D4",SOD-523,C27748
LED,"D6,D9",201,C3646921
LED,"D7,D10",201,C3646923
SS14,"D11,D12,D13",DO-214AC,C47460
FerriteBead_Small,"FB1,FB2",805,C85840
L6234PD013TR,"IC1,IC2,IC3,IC4",PowerSO-20,C77581
TPS2552DRVR-1,"IC5,IC6,IC7,IC8,IC9,IC10,IC11",WSON-6,C2149898
TMUX1574PWR,"IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,IC24,IC25,IC26",TSSOP-16,C2673443
Conn_02x04_Top_Bottom,"J_Motor1,J_Motor2,J_Motor3,J_Motor4",Plugin,C5407937
MMBTA94,"Q1,Q2,Q11,Q12",SOT-23,
MMBT2222A,"Q3,Q4,Q5,Q13,Q14,Q15,Q51,Q52",SOT-23,
100kR,"R1,R5,R7,R8",805,
102kR,"R1_FAULT1,R1_FAULT2,R2_FAULT1,R2_FAULT2,R5_FAULT1,R6_FAULT1,R7_FAULT1",805,
88.7kR,"R1_ILIM1,R1_ILIM2,R2_ILIM1,R2_ILIM2",805,
10kR,"R2,R9,R10,R13,R24,R39,R40,R41,R42,R43,R45,R46,R47,R48,R49,R50,R51,R52,R58,R114,R121,R122,R221,R222,R228,R229",805,
4700R,"R3,R4,R6,R15,R16,R17,R34,R35,R36,R53,R54,R55",603,
226kR,"R5_ILIM1,R6_ILIM1,R7_ILIM1",805,
15mR,"R11,R12,R18,R19,R37,R38,R56,R57",1206,C4293416
22.1kR,"R14,R26,R44,R59",805,
27kR,"R20,R21,R22,R23,R25,R27,R28,R29,R30,R31,R32,R33",805,
1kR,"R60,R61",805,
470R,"R63,R64,R66,R67",805,
5kR,"R68,R69,R70,R71,R72,R73,R74",603,
100kR,"R75,R82,R100",805,
10kR,"R76,R77,R78,R79,R94,R95,R96,R97",805,
5kR,"R80,R81,R98,R99",805,
16.5k,"R102,R103,R104,R106",805,
102k,"R105,R108",805,
SW_Push,"S1,S2","SMD,4.6x2.8mm",C72443
TPS25940ARVCR,"U1,U4,U7,U10",WQFN-20-EP,C2653873
INA240A2QDRQ1,"U2,U3,U5,U6,U8,U9,U11,U12",SOIC-8,C2057365
TCAN330,"U13,U14",SOIC-8,C31086109
STM32U5A5VJTx,"U15,U16",LQFP-64(10x10),C22454506
CY15B104QN-50SXI,"U17,U18,U19",SOIC-8,C2954184
TMP1075DSG,"U20,U21,U22,U23,U24,U25",WSON-8,C2870250
TPS3430WDRCR,"U51,U52",VSON-10-EP(3x3),C2870545
ABS07AIG-32.768KHZ-9-1-T,"Y1,Y2",SMD3215-2P,C6491654
