Ref,Val,Package,PosX,PosY,Rot,Side
"C1_RETRY1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",73.825000,-114.800000,-90.000000,bottom
"C1_RETRY2","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.750000,-116.005000,-90.000000,bottom
"C2","0.22uF","C_0603_1608Metric",100.737500,-88.625000,0.000000,bottom
"C3","100nF","C_0603_1608Metric",121.859088,-75.679000,180.000000,bottom
"C4","100nF","C_0603_1608Metric",111.044088,-75.592824,0.000000,bottom
"C5","100nF","C_0603_1608Metric",100.762500,-90.100000,180.000000,bottom
"C6","47uF","C_1210_3225Metric",125.000000,-91.600000,-90.000000,bottom
"C7","100nF","C_0603_1608Metric",118.429088,-75.627824,0.000000,bottom
"C8","100nF","C_0603_1608Metric",107.744088,-75.567824,0.000000,bottom
"C10","1uF","C_0603_1608Metric",100.787500,-91.575000,180.000000,bottom
"C13","0.22uF","C_0603_1608Metric",132.375000,-93.475000,-90.000000,bottom
"C14","100nF","C_0603_1608Metric",139.050000,-105.175000,-90.000000,bottom
"C15","100nF","C_0603_1608Metric",139.100000,-115.200000,90.000000,bottom
"C16","100nF","C_0603_1608Metric",130.875000,-93.475000,90.000000,bottom
"C17","47uF","C_1210_3225Metric",129.450000,-116.600000,0.000000,bottom
"C18","100nF","C_0603_1608Metric",139.100000,-112.125000,-90.000000,bottom
"C19","100nF","C_0603_1608Metric",139.025000,-102.050000,-90.000000,bottom
"C21","1uF","C_0603_1608Metric",129.375000,-93.475000,90.000000,bottom
"C24","0.22uF","C_0603_1608Metric",129.000000,-124.040000,180.000000,bottom
"C25","100nF","C_0603_1608Metric",105.425000,-126.575000,180.000000,bottom
"C26","100nF","C_0603_1608Metric",115.500000,-126.600000,180.000000,bottom
"C27","100nF","C_0603_1608Metric",129.025000,-122.350000,0.000000,bottom
"C28","47uF","C_1210_3225Metric",103.750000,-121.250000,90.000000,bottom
"C29","100nF","C_0603_1608Metric",108.425000,-126.600000,180.000000,bottom
"C30","100nF","C_0603_1608Metric",118.500000,-126.575000,180.000000,bottom
"C32","1uF","C_0603_1608Metric",129.000000,-120.850000,0.000000,bottom
"C34","0.22uF","C_0603_1608Metric",96.500000,-119.500000,90.000000,bottom
"C36","100nF","C_0603_1608Metric",87.800000,-97.650000,-90.000000,bottom
"C37","100nF","C_0603_1608Metric",87.750000,-107.625000,90.000000,bottom
"C38","100nF","C_0603_1608Metric",98.000000,-119.500000,-90.000000,bottom
