Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.6,-121.0625,-90,bottom
C1_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.1,-121.0625,-90,bottom
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181,-120.75,-90,bottom
C3_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,176.5,-120.7625,-90,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.25,-132.5,90,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.25,-132.5,90,bottom
C5_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.3625,-96.1,180,bottom
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133,-137.72,-90,bottom
C6_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.425,-102.5,180,bottom
C7,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172,-137.7125,-90,bottom
C7_RETRY2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.3375,-108.7,180,bottom
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138,-135.75,180,bottom
C9,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.9625,-135.75,180,bottom
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.25,-135.75,90,bottom
C11,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.3875,-129.25,0,bottom
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,129.4,-128.2,0,bottom
C13,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.25,-135.8625,90,bottom
C14,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.75,-129.5,0,bottom
C15,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.4,-128.2,0,bottom
C16,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140,-129.5,0,bottom
C17,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179,-129.5,0,bottom
C18,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.75,-135.8625,90,bottom
C19,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.75,-135.8625,90,bottom
C20,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138,-137.75,180,bottom
C21,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.9625,-137.75,180,bottom
C22,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.126,-147.066,-90,bottom
C23,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.372,-147.066,-90,bottom
C27,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.3625,-91.6,0,bottom
C28,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.4125,-97.75,0,bottom
C29,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.3625,-104.2,0,bottom
C32,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165,-131.0625,90,bottom
C33,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.7,-134.7,180,bottom
C34,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.2375,-129.3,0,bottom
C35,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,125.2375,-130.9,0,bottom
C36,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.78,-88.895,90,bottom
