0.1uF,"C1,C1_RETRY1,C2_RETRY1,C3,C4,C5,C5_RETRY1,C6,C6_RETRY1,C7,C7_RETRY1,C9,C11,C21,C22,C25,C26,C29,C30,C31,C43,C144",603,C1864275
4.7uF,C2,805,C1746
12pF,"C8,C10",603,C1642
1uF,C32,603,C1592
10uF,C33,603,C18800
0.1uF,C34,805,C1711
1uF,C35,805,C1712
4.7uF,"C61,C63,C67,C90,C91,C94",603,C1705
10uF,"C62,C82,C83,C84,C85",603,C1691
0.1uF,"C64,C105",201,C49062
33nF,C65,201,C161475
0.01uF,"C66,C92",402,C1524
22uF,C68,1206,C1859
1uF,"C80,C89,C991",201,C53067
LED,"D1,D5,D14",201,C3646921
B340,"D6,D60",SMC,C52988714
SS14,D7,SMA(DO-214AC),C2480
LED,"D50,D51,D52",201,C3646921
BAT54J,D53,SOD-323,C86299
FerriteBead_Small,FB1,805,C47460
TPS2552DRVR-1,"IC2,IC3,IC7,IC8,IC9",WSON-6,C2149898
2.2uH,L1,201,C1043
22uH,"L2,L20",805,C18100
6.8uH,L25,"SMD,10.4x10.3mm",C10142
Si7617DN,"Q100,Q101",PowerPAK1212-8,C727607
AO3400A,"Q200,Q201",SOT-23-3L,C20917
0.33,"R1,R2,R12,R20,R34,R35,R40,R41,R45,R46,R52,R53",1206,C46594298
102kR,"R1_FAULT1,R2_FAULT1,R5_FAULT1,R6_FAULT1,R7_FAULT1",805,C415027
88.7kR,"R1_ILIM1,R2_ILIM1",805,C706252
0.05,"R4,R21,R36,R39,R42,R47,R54",1206,C127691
10k,"R5,R6,R22,R31,R32,R33,R37,R38,R43,R44,R48,R49,R50,R51,R58,R60,R64,R67,R80,R81,R83,R84,R85,R86,R87,R88",805,C110775
226kR,"R5_ILIM1,R6_ILIM1,R7_ILIM1",805,C2849108
5kR,"R13,R14,R15,R16,R17,R18,R19",603,C862232
100k,R23,805,C56453
25k,R25,805,C153306
470R,"R26,R27,R28",805,C109437
8k,R55,805,C218721
88.2k,R57,805,C706252
33k,R59,805,C218519
150k,R65,805,C136901
56k,R66,805,C218627
70k,R82,805,C706289
10K,R91,805,C110775
102k,R128,603,C667148
16.5k,R129,603,C234312
10.0k,R570,805,C110775
3.24k,R571,805,C22369998
0.01,"RSR1,RSR2",2010,C146916
KMR221GLFS,SW1,"SMD,4.6x2.8mm",C72443
TCAN330,U3,SOIC-8,C31086109
INA3221,"U4,U15,U17,U18,U32,U33,U34",QFN-16-EP(4x4),C181255
TMP1075DSG,"U8,U9,U10,U11,U12,U14",WSON-8-EP(2x2),C2870250
STM32U5A5VJTx,U16,LQFP-100(14x14),C22455480
ITS716G,U19,SOIC-20-300mil,C2680402
TPS5430DDA,"U21,U221",SOIC-8-EP,C9864
TPS62130,U22,QFN-16-EP(3x3),C43590
BQ24610,U50,VQFN-24(4x4),C19384
TPS3430WDRCR,U114,VSON-10-EP(3x3),C2870545
ABS07AIG-32.768KHZ-9-1-T,Y1,SMD3215-2P,C5574985
