Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.3775,-119.591,180,bottom
C1_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.49,-121.4785,-90,bottom
C2,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.74,-128.591,90,bottom
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.49,-119.091,0,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,153.49,-128.841,-90,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.3775,-131.091,180,bottom
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.3775,-122.591,180,bottom
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.99,-124.591,180,bottom
C8,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.29,-128.546,0,bottom
C9,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,130.6025,-116.091,0,bottom
C10,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.27,-122.896,0,bottom
C29,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.3775,-121.091,180,bottom
C30,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.49,-120.591,0,bottom
C31,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.3775,-124.091,180,bottom
C32,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.3775,-129.591,180,bottom
C33,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.84,-120.4535,90,bottom
C34,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.7025,-125.841,0,bottom
C35,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.7025,-127.841,0,bottom
IC2,TPS2552DRVT-1,TPS2552DRVT-1,130.54,-118.341,180,bottom
R1_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.24,-120.341,180,bottom
