0.1uF,"C1,C1_RETRY1,C2,C2_RETRY1,C3,C3_RETRY1,C4,C4_RETRY1,C5,C5_RETRY1,C6_RETRY1,C7_RETRY1,C7_RETRY2,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C43,C44,C49,C50,C55,C56,C57,C58",603,C1864275
1uF,"C6,C7",805,C1865372
10uF,"C8,C9,C45,C46,C51,C52",805,C696369
4.7uF,"C20,C21,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C47,C48,C53,C54",805,C1883316
LED,"D1,D4",203,C5440628
LED,"D2,D5",203,C3646921
LED,"D3,D6",203,C3646923
SS14,"D7,D8,D9",DO-214AC,C47460
1N4148,"D10,D11",SOD-523,C232841
FerriteBead_Small,"FB1,FB2",805,C85840
TPS2552DRVT-1,"IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8",WSON-6,C2150036
TMUX1574PWR,"IC9,IC10,IC11,IC12,IC13,IC14,IC15",TSSOP-16,C2673443
IS22EF08GP-JCLA2,IC16,FBGA-153,
MMBT2222A,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q13,Q14,Q15,Q18,Q19,Q20",SOT-23,C82460
MMBTA94,"Q11,Q12,Q16,Q17",SOT-23,C305468
470R,"R1,R2,R3,R4,R5,R6",805,C186245
102kR,"R1_FAULT1,R2_FAULT1,R3_FAULT1,R4_FAULT1,R5_FAULT1,R6_FAULT1,R7_FAULT1,R7_FAULT2",805,C2510746
88.7kR,"R1_ILIM1,R2_ILIM1,R3_ILIM1,R4_ILIM1",805,C2511382
226kR,"R5_ILIM1,R6_ILIM1,R7_ILIM2",805,C2509529
1kR,"R7,R8,R9,R33,R34,R37,R44,R45,R48",805,C186253
109kR,R7_ILIM1,805,C2538862
5kR,"R10,R11,R12,R13,R14,R15,R16",603,C6407682
100kR,"R17,R28,R36,R38,R39,R47,R49,R56,R63",805,C186301
4k7,R18,805,C186269
10kR,"R19,R29,R30,R31,R40,R41,R42,R50,R51,R52,R53,R57,R58,R59,R60",805,C186277
22.1kR,"R20,R21,R22,R23,R24,R25,R26,R27",805,C2539116
5kR,"R32,R43,R54,R55,R61,R62",805,C4162440
750kR,"R35,R46",805,C2538569
Button,"S1,S2",KMR731NGLFS,C221695
TCAN330,"U1,U2",SOIC-8,C31086109
STM32U5A5RJTx,"U3,U4",LQFP-64(10x10),C22454506
CY15B104QN-50SXI,"U5,U6,U7",SOIC-8,C2954184
TMP1075DSG,"U8,U9,U10,U11,U12,U13",WSON-8,C2870250
LM393,"U14,U15",SOIC-8,C2865059
