Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.96,-119.2125,-90,bottom
C1_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.46,-119.2125,-90,bottom
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.36,-118.9,-90,bottom
C3_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.86,-118.9125,-90,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.61,-130.65,90,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,170.61,-130.65,90,bottom
C5_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.66,-94.7425,180,bottom
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.36,-135.87,-90,bottom
C6_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.7225,-101.1425,180,bottom
C7,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.36,-135.8625,-90,bottom
C7_RETRY2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.635,-107.3425,180,bottom
C8,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.36,-133.9,180,bottom
C9,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.3225,-133.9,180,bottom
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.61,-133.9,90,bottom
C11,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.7475,-127.4,0,bottom
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.76,-126.35,0,bottom
C13,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.61,-134.0125,90,bottom
C14,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.11,-127.65,0,bottom
C15,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.76,-126.35,0,bottom
C16,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.36,-127.65,0,bottom
C17,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.36,-127.65,0,bottom
C18,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.11,-134.0125,90,bottom
C19,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.11,-134.0125,90,bottom
C20,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.36,-135.9,180,bottom
C21,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.3225,-135.9,180,bottom
C22,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.486,-145.216,-90,bottom
C23,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.732,-145.216,-90,bottom
C27,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.66,-90.2425,0,bottom
C28,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.71,-96.3925,0,bottom
C29,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.66,-102.8425,0,bottom
C32,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.36,-129.2125,90,bottom
C33,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,168.06,-132.85,180,bottom
C34,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.5975,-127.45,0,bottom
C35,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.5975,-129.05,0,bottom
C55,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.35375,-120.2,180,bottom
C57,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.56,-119.95,180,bottom
FB1,FerriteBead_Small,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.36,-135.9,-90,bottom
FB2,FerriteBead_Small,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.36,-135.9,-90,bottom
IC2,TPS2552DRVT-1,TPS2552DRVT-1,138.76,-119.2,90,bottom
IC3,TPS2552DRVT-1,TPS2552DRVT-1,177.21,-118.9,90,bottom
IC6,TPS2552DRVT-1,TPS2552DRVT-1,152.7725,-92.4925,180,bottom
IC7,TPS2552DRVT-1,TPS2552DRVT-1,152.7725,-98.7925,180,bottom
IC8,TPS2552DRVT-1,TPS2552DRVT-1,152.8225,-104.9925,180,bottom
Q13,MMBT2222A,SOT-23,127.05375,-122.95,0,bottom
Q14,MMBT2222A,SOT-23,122.99125,-117.45,180,bottom
Q18,MMBT2222A,SOT-23,166.56,-122.75,0,bottom
Q19,MMBT2222A,SOT-23,162.36,-117.15,180,bottom
R1,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.76,-129.95,0,bottom
R1_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.96,-116.6,180,bottom
R1_ILIM1,88.7kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.96,-121.85,180,bottom
R2,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.16,-126.65,0,bottom
R3,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.86,-132.15,0,bottom
R3_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.61,-116.15,180,bottom
R3_ILIM1,88.7kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.36,-121.65,180,bottom
R4,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.06,-131.45,0,bottom
R5,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.56,-121.25,0,bottom
R5_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.0225,-92.7425,90,bottom
R5_ILIM1,226kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.5225,-92.7425,90,bottom
R6,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,167.76,-128.05,0,bottom
R6_FAULT1,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.9725,-98.8925,90,bottom
R6_ILIM1,226kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.4725,-98.8925,90,bottom
R7_FAULT2,102kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.0225,-105.3425,90,bottom
R7_ILIM2,226kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.5225,-105.3425,90,bottom
R12,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.11,-130.65,90,bottom
R13,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.11,-130.65,90,bottom
R14,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.71,-93.055,90,bottom
R15,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.71,-98.98,90,bottom
R16,5kR,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.71,-105.23,90,bottom
R52,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.24125,-123.95,180,bottom
R53,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.99125,-116.2,0,bottom
R54,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.24125,-121.95,180,bottom
R55,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.99125,-118.2,0,bottom
R59,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.56,-123.75,180,bottom
R60,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.36,-115.95,0,bottom
R61,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.56,-121.75,180,bottom
R62,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.36,-117.95,0,bottom
U9,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,174.71,-131.4,180,bottom
U10,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,135.685,-131.4,180,bottom
U11,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,162.21,-93.1425,180,bottom
U12,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,162.21,-99.1425,180,bottom
U13,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,162.21,-105.2975,180,bottom
U17,ATXK-H14,ATXK-H14,141.885,-129.7,180,bottom
U18,ATXK-H14,ATXK-H14,181.285,-130.2,180,bottom
XTAL2,ABS07AIG-32.768KHZ-9-D-T,XTAL_ABS07AIG_ABR,128.6776,-129.25,180,bottom
XTAL3,ABS07AIG-32.768KHZ-9-D-T,XTAL_ABS07AIG_ABR,167.6776,-130.15,180,bottom
C2_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.515,-69.36,180,top
C4_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.677529,-78.15,180,top
C24,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.515,-73.61,0,top
