0.1uF,"C1,C1_RETRY1,C2,C2_RETRY1,C3_RETRY1,C4,C4_RETRY1,C5,C5_RETRY1,C6_RETRY1,C7_RETRY2,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C43,C44,C45,C46,C55,C56,C57,C58",603,C1864275
1uF,"C6,C7",805,C1712
10uF,"C8,C9",805,C696369
4.7uF,"C20,C21",805,C1883316
12pF,"C32,C33,C34,C35",603,C1642
LED,"D1,D2,D3,D4,D5,D6",201,C3646921
SS14,"D7,D8,D9",SMA(DO-214AC),C2480
SS310,"D50,D51,D52,D53",SMA(DO-214AC),C15874
FerriteBead_Small,"FB1,FB2",805,C47460
TPS2552DRVR-1,"IC2,IC3,IC4,IC5,IC6,IC7,IC8",WSON-6-EP(2x2),C2149898
TMUX1574PWR,"IC9,IC10,IC11,IC12,IC50",TSSOP-16,C2673443
MMBT2222A,"Q1,Q2,Q13,Q14,Q15,Q18,Q19,Q20",SOT-23,C83939
MMBTA94,"Q11,Q12,Q16,Q17",SOT-23,C39271
SS8050,"Q50,Q51,Q52,Q53",SOT-23,C2150
470R,"R1,R2,R3,R4,R5,R6",805,C186245
102kR,"R1_FAULT1,R2_FAULT1,R3_FAULT1,R4_FAULT1,R5_FAULT1,R6_FAULT1,R7_FAULT2",805,C2510746
88.7kR,"R1_ILIM1,R2_ILIM1,R3_ILIM1,R4_ILIM1",805,C2511382
226kR,"R5_ILIM1,R6_ILIM1,R7_ILIM2",805,C2509529
1kR,"R7,R8,R9",805,C186253
5kR,"R10,R11,R12,R13,R14,R15,R16",603,C862232
100kR,"R17,R56,R63",805,C186301
102k,"R28,R31",805,C2539116
16.5k,"R29,R30,R32,R33",805,C4162440
10kR,"R50,R51,R52,R53,R57,R58,R59,R60",805,C186269
5kR,"R54,R55,R61,R62",805,C2538569
KMR221GLFS,"SW1,SW2","SMD,4.6x2.8mm",C72443
TCAN330,"U1,U2",SOIC-8,C31086109
TMP1075DSG,"U9,U10,U11,U12,U13",WSON-8,C2870250
TPS3430WDRCR,"U14,U15",VSON-10-EP(3x3),C2870545
ABS07AIG-32.768KHZ-9-D-T,"XTAL2,XTAL3",SMD3215-2P,C6491654
