Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.377500,-119.591000,180.000000,bottom
"C1_RETRY1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.490000,-121.478500,-90.000000,bottom
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.740000,-128.591000,90.000000,bottom
"C3","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.490000,-119.091000,0.000000,bottom
"C4","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.490000,-128.841000,-90.000000,bottom
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.377500,-131.091000,180.000000,bottom
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.377500,-122.591000,180.000000,bottom
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.990000,-124.591000,180.000000,bottom
"C8","12pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.290000,-128.546000,0.000000,bottom
"C9","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.602500,-116.091000,0.000000,bottom
"C10","12pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.270000,-122.896000,0.000000,bottom
"C29","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.377500,-121.091000,180.000000,bottom
"C30","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.490000,-120.591000,0.000000,bottom
"C31","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.377500,-124.091000,180.000000,bottom
"C32","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.377500,-129.591000,180.000000,bottom
"C33","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.840000,-120.453500,90.000000,bottom
"C34","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.702500,-125.841000,0.000000,bottom
"C35","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.702500,-127.841000,0.000000,bottom
"IC2","TPS2552DRVT-1","TPS2552DRVT-1",130.540000,-118.341000,180.000000,bottom
"R1_FAULT1","102kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.240000,-120.341000,180.000000,bottom
"R1_ILIM1","88.7kR","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.290000,-118.341000,0.000000,bottom
"R26","470R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.740000,-124.341000,0.000000,bottom
"R27","470R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.910000,-122.341000,0.000000,bottom
"R28","470R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.740000,-120.341000,0.000000,bottom
"Y1","ABS07AIG-32.768KHZ-9-1-T","ABS07AIG-32",148.430000,-125.716000,90.000000,bottom
"BT1","Battery_Cell","16340 Pin 1 Single",108.415000,-66.466000,90.000000,top
"BT2","Battery_Cell","16340 Pin 1 Single",142.565000,-88.466000,90.000000,top
"BT3","Battery_Cell","16340 Battery",125.490000,-106.398000,-90.000000,top
"BT4","Battery_Cell","16340 Pin 2 Single",108.415000,-128.466000,90.000000,top
"BT5","Battery_Cell","16340 Pin 1 Single",186.565000,-66.466000,90.000000,top
"BT6","Battery_Cell","16340 Pin 1 Single",152.415000,-88.466000,90.000000,top
"BT7","Battery_Cell","16340 Battery",169.490000,-106.398000,90.000000,top
"BT8","Battery_Cell","16340 Pin 2 Single",186.565000,-128.466000,90.000000,top
"C2_RETRY1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.830000,-121.901000,0.000000,top
"C5_RETRY1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.020000,-128.794000,0.000000,top
"C6_RETRY1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.230000,-117.144000,0.000000,top
"C7_RETRY1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.357500,-101.767500,180.000000,top
"C11","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.840000,-117.721000,180.000000,top
"C21","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",176.362500,-114.981000,-90.000000,top
"C22","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.340000,-126.134000,0.000000,top
"C25","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.560000,-114.474000,0.000000,top
"C26","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.037500,-104.397500,180.000000,top
"C43","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.162200,-131.370999,0.000000,top
