Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,100.19,-130.325,-90,bottom
C2,100n,C_0603_1608Metric,117.79,-133.43,180,bottom
C16,10u,C_0603_1608Metric,102.19,-130.325,-90,bottom
C21,0.01uF,C_0402_1005Metric,106.911666,-129.29,90,bottom
C50,0.1uF,C_0201_0603Metric,86.525,-128.96,90,bottom
C51,0.1uF,C_0201_0603Metric,86.525,-125.615,-90,bottom
C52,10uF,C_0201_0603Metric,90.025,-123.615,90,bottom
C53,22pF,C_0201_0603Metric,95.025,-124.96,-90,bottom
C54,560pF,C_0201_0603Metric,96.115,-126.56,-90,bottom
C55,10uF,C_0603_1608Metric,89.98,-131.38,-90,bottom
C56,4.7uF,C_0805_2012Metric,92.31,-122.3,90,bottom
J3,TSM-110-01-L-DV,2x10 Pin Header,64.75,-128.06,-90,bottom
L50,3.3uH,L_0603_1608Metric,85.41,-127.6,90,bottom
R1,5kΩ,R_0201_0603Metric,105.245,-129.61,180,bottom
R2,5kΩ,R_0201_0603Metric,105.245,-128.61,180,bottom
R15,5kΩ,R_0201_0603Metric,221.4025,-129.3525,-90,bottom
R16,5kΩ,R_0201_0603Metric,315.05,-129.54,-90,bottom
R17,5kΩ,R_0201_0603Metric,101.37,-122.305,-90,bottom
R18,5kΩ,R_0201_0603Metric,259.95,-127.35,90,bottom
R19,5kΩ,R_0201_0603Metric,98.59,-134.115,-90,bottom
R50,316k,R_0201_0603Metric,94.025,-124.96,-90,bottom
R51,100k,R_0201_0603Metric,96.025,-124.96,90,bottom
R52,39.2k,R_0201_0603Metric,95.115,-126.56,90,bottom
R54,200k,R_0201_0603Metric,95.025,-129.14,-90,bottom
R55,100k,R_0201_0603Metric,92.025,-130.46,0,bottom
R70,0.1,R_2512_6332Metric,115.35,-130.59,180,bottom
U5,INA226,VSSOP-10_3x3mm_P0.5mm,122.59,-132.46,180,bottom
U7,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,95.04,-133.84,0,bottom
U8,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,218.4525,-129.1025,0,bottom
U9,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,312.38,-129.12,0,bottom
U10,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,162.45,-128.86,0,bottom
U11,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,98.88,-122.11,0,bottom
U12,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,262.19,-127.54,180,bottom
U50,LTC3119IUFD_PBF,LTC3119,90.46,-127.21,-90,bottom
M1,Motor_DC,PinHeader_1x02_P2.54mm_Vertical,168.3,-90.55,0,top
SC1,Solar_Cell,Solar_Cell,114.224,-127.887,-90,top
SC2,Solar_Cell,Solar_Cell,76.25,-127.9,90,top
SC3,Solar_Cell,Solar_Cell,158.209,-127.9,90,top
SC4,Solar_Cell,Solar_Cell,196.1825,-127.887,-90,top
SC5,Solar_Cell,Solar_Cell,257.766442,-127.887,-90,top
SC6,Solar_Cell,Solar_Cell,301.766,-127.9,90,top
SC7,Solar_Cell,Solar_Cell,339.74,-127.887,-90,top
