0.1uF,"C1,C1_RETRY1,C2,C2_RETRY1,C3,C3_RETRY1,C4_RETRY1,C5_RETRY1,C6_RETRY1,C7_RETRY1,C7_RETRY2,C11,C12,C14,C15,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C33,C43,C44,C45,C46,C55,C56,C57,C58",603,
100nF,"C4,C5,C10,C13,C16,C17,C18,C19",603,
1uF,"C6,C7",805,
10uF,"C8,C9,C32",805,
4.7uF,"C20,C21",805,
12pF,"C34,C35,C36,C37",603,
LED,"D1,D4",201,C5440628
LED,"D2,D5",201,C3646921
LED,"D3,D6",201,C3646923
SS14,"D7,D8,D9",DO-214AC,C47460
FerriteBead_Small,"FB1,FB2",805,C85840
TPS2552DRVR-1,"IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8",WSON-6,C2149898
TMUX1574PWR,"IC9,IC10,IC11,IC12,IC13",TSSOP-16,C2673443
Conn_Coaxial_Small,J4,U.FL-R-SMT(10),C434808
MMBT2222A,"Q1,Q2,Q13,Q14,Q15,Q18,Q19,Q20",SOT-23,
MMBTA94,"Q11,Q12,Q16,Q17",SOT-23,
470R,"R1,R2,R3,R4,R5,R6",805,
102kR,"R1_FAULT1,R2_FAULT1,R3_FAULT1,R4_FAULT1,R5_FAULT1,R6_FAULT1,R7_FAULT1,R7_FAULT2",805,
88.7kR,"R1_ILIM1,R2_ILIM1,R3_ILIM1,R4_ILIM1",805,
226kR,"R5_ILIM1,R6_ILIM1,R7_ILIM2",805,
1kR,"R7,R8,R9",805,
133kR,R7_ILIM1,805,
5kR,"R10,R11,R12,R13,R14,R15,R16",603,
100kR,"R17,R56,R63",805,
0R,"R18,R19",805,
102k,"R28,R31",805,
16.5k,"R29,R30,R32,R33",805,
10kR,"R50,R51,R52,R53,R57,R58,R59,R60",805,
5kR,"R54,R55,R61,R62",805,
KMR221GLFS,"SW1,SW2","SMD,4.6x2.8mm",C72443
TCAN330,"U1,U2",SOIC-8,C31086109
STM32U5A5RJTx,"U3,U4",LQFP-64(10x10),C22454506
CY15B104QN-50SXI,"U5,U6,U7",SOIC-8,C2954184
TMP1075DSG,"U8,U9,U10,U11,U12,U13",WSON-8,C2870250
TPS3430WDRCR,"U14,U15",VSON-10-EP(3x3),C2870545
ABS07AIG-32.768KHZ-9-D-T,"XTAL1,XTAL3",SMD3215-2P,C6491654
