Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.725,-131.65,90,bottom
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,168.2,-130.35,90,bottom
C6,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.475,-136.87,-90,bottom
C7,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.95,-135.5625,-90,bottom
C8,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.475,-134.9,180,bottom
C9,10µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.9125,-133.6,180,bottom
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.725,-134.9,90,bottom
C11,0.1μF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.8625,-128.4,0,bottom
C12,0.1μF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.8625,-127.3,180,bottom
C13,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,176.2,-133.7125,90,bottom
C14,0.1μF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,170.7,-127.35,0,bottom
C15,0.1μF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,164.8,-126.1,0,bottom
C16,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.475,-128.65,0,bottom
C17,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.95,-127.35,0,bottom
C18,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.225,-135.0125,90,bottom
C19,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.7,-133.7125,90,bottom
C20,4.7µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.475,-136.9,180,bottom
C21,4.7µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.9125,-135.6,180,bottom
C22,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.05,-146.9875,-90,bottom
C23,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.55,-147.0125,-90,bottom
C34,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.1,-124.2,-90,bottom
C35,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,160.1,-133.8,90,bottom
C36,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.6,-126.1375,-90,bottom
C37,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.7,-134.6625,90,bottom
C55,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.75,-116.5875,-90,bottom
C57,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.95,-116.75,-90,bottom
FB1,FerriteBead_Small,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.475,-136.9,-90,bottom
FB2,FerriteBead_Small,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,165.95,-135.6,-90,bottom
Q13,MMBT2222A,SOT-23,126.5,-112.8875,90,bottom
Q14,MMBT2222A,SOT-23,121,-116.95,-90,bottom
Q18,MMBT2222A,SOT-23,177.75,-112.75,90,bottom
Q19,MMBT2222A,SOT-23,172.15,-116.95,-90,bottom
R1,470Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.9,-132.9,0,bottom
R2,470Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.1,-122.6,0,bottom
R3,470Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.1,-124.5,0,bottom
R4,470Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,165.5,-131.7,0,bottom
R5,470Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.8,-124.1,-90,bottom
R6,470Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,175.7,-124.1,-90,bottom
R12,5kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,169.7,-130.35,90,bottom
R13,5kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.225,-131.65,90,bottom
R14,5kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127.3625,-91.15,180,bottom
R15,5kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.8875,-91.3,180,bottom
R16,5kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,152.7825,-91.65,180,bottom
R18,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.65,-121.45,90,bottom
R19,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.65,-121.45,90,bottom
R52,10kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.5,-116.7,-90,bottom
R53,10kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.75,-112.95,90,bottom
R54,5kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.5,-116.7,-90,bottom
R55,5kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.75,-112.95,90,bottom
R59,10kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.75,-116.75,-90,bottom
R60,10kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,170.95,-112.95,90,bottom
R61,5kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.75,-116.75,-90,bottom
R62,5kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172.95,-112.95,90,bottom
U8,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,149.2,-131.2,180,bottom
U9,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,172.3,-131.1,180,bottom
U10,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,118.8,-132.4,180,bottom
U11,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,127.45,-88.65,-90,bottom
U12,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,140.05,-88.8,-90,bottom
U13,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,152.85,-89.15,-90,bottom
XTAL1,ABS07AIG-32.768KHZ-9-D-T,XTAL_ABS07AIG_ABR,107.6,-130.4,90,bottom
XTAL3,ABS07AIG-32.768KHZ-9-D-T,XTAL_ABS07AIG_ABR,160.1,-128.9824,90,bottom
C1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.55,-97.4625,-90,top
C1_RETRY1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.05,-97.4625,-90,top
C2,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,185.6,-97.65,-90,top
C2_RETRY1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.4,-72.755,180,top
C3,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.775,-119.75,-90,top
C3_RETRY1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,190.1,-97.6625,-90,top
C4_RETRY1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.0575,-73.1,180,top
C5_RETRY1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.425,-88.9625,-90,top
C6_RETRY1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.05,-88.9,-90,top
C7_RETRY1,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.025,-119.75,90,top
C7_RETRY2,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.85,-89.1375,-90,top
C24,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.4,-77.005,0,top
C25,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.0825,-77.6,0,top
C26,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,153.4,-109.6,0,top
C27,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.925,-88.9625,90,top
C28,0.1µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.8,-88.9125,90,top
